fishery,management_area,target,opening_year,sex,size,soft,new,old,very_old,unknown,total
TT15,bristol_bay,tanner_crab,2015,male,115,0,17,0,0,0,17
TT15,bristol_bay,tanner_crab,2015,male,116,0,11,0,0,1,12
TT15,bristol_bay,tanner_crab,2015,male,117,0,15,0,0,0,15
TT15,bristol_bay,tanner_crab,2015,male,118,0,10,0,0,0,10
TT15,bristol_bay,tanner_crab,2015,male,119,0,9,0,0,0,9
TT15,bristol_bay,tanner_crab,2015,male,120,0,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,121,0,5,1,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,122,0,12,0,0,0,12
TT15,bristol_bay,tanner_crab,2015,male,123,0,5,0,0,0,5
TT15,bristol_bay,tanner_crab,2015,male,124,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,125,0,6,0,0,0,6
TT15,bristol_bay,tanner_crab,2015,male,126,0,4,0,0,0,4
TT15,bristol_bay,tanner_crab,2015,male,127,0,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,128,0,8,0,0,0,8
TT15,bristol_bay,tanner_crab,2015,male,130,0,7,0,0,0,7
TT15,bristol_bay,tanner_crab,2015,male,131,0,2,1,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,132,0,2,1,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,133,0,1,1,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,134,0,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,135,0,3,0,0,0,3
TT15,bristol_bay,tanner_crab,2015,male,136,0,1,0,0,0,1
TT15,bristol_bay,tanner_crab,2015,male,137,0,2,0,0,0,2
TT15,bristol_bay,tanner_crab,2015,male,138,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,64,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,65,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,66,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,67,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,69,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,70,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,72,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,73,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,74,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,75,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,76,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,77,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,78,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,79,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,80,0,6,0,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,81,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,83,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,84,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,85,0,4,1,0,0,5
TT91,bristol_bay,tanner_crab,1991,male,86,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,87,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,88,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,89,0,6,0,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,90,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,91,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,92,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,93,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,94,0,3,0,0,0,3
TT91,bristol_bay,tanner_crab,1991,male,95,0,1,1,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,96,0,5,0,0,0,5
TT91,bristol_bay,tanner_crab,1991,male,97,0,11,0,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,98,0,8,0,0,0,8
TT91,bristol_bay,tanner_crab,1991,male,99,0,6,0,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,100,0,6,0,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,101,0,10,0,0,0,10
TT91,bristol_bay,tanner_crab,1991,male,102,0,13,0,0,0,13
TT91,bristol_bay,tanner_crab,1991,male,103,0,6,0,0,0,6
TT91,bristol_bay,tanner_crab,1991,male,104,0,8,1,0,0,9
TT91,bristol_bay,tanner_crab,1991,male,105,0,8,0,0,0,8
TT91,bristol_bay,tanner_crab,1991,male,106,0,11,0,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,107,0,4,0,0,0,4
TT91,bristol_bay,tanner_crab,1991,male,108,0,13,0,0,0,13
TT91,bristol_bay,tanner_crab,1991,male,109,0,9,0,0,0,9
TT91,bristol_bay,tanner_crab,1991,male,110,0,9,0,0,0,9
TT91,bristol_bay,tanner_crab,1991,male,111,0,7,0,0,1,8
TT91,bristol_bay,tanner_crab,1991,male,112,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,113,0,10,1,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,114,0,5,0,0,0,5
TT91,bristol_bay,tanner_crab,1991,male,115,0,9,0,1,0,10
TT91,bristol_bay,tanner_crab,1991,male,116,0,5,2,0,0,7
TT91,bristol_bay,tanner_crab,1991,male,117,0,8,0,1,0,9
TT91,bristol_bay,tanner_crab,1991,male,118,1,11,0,0,0,12
TT91,bristol_bay,tanner_crab,1991,male,119,0,11,0,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,120,0,8,3,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,121,0,8,5,0,0,13
TT91,bristol_bay,tanner_crab,1991,male,122,0,8,1,0,0,9
TT91,bristol_bay,tanner_crab,1991,male,123,0,9,2,0,0,11
TT91,bristol_bay,tanner_crab,1991,male,124,0,8,0,0,0,8
TT91,bristol_bay,tanner_crab,1991,male,125,0,9,3,0,0,12
TT91,bristol_bay,tanner_crab,1991,male,126,0,7,1,0,1,9
TT91,bristol_bay,tanner_crab,1991,male,127,0,8,2,1,0,11
TT91,bristol_bay,tanner_crab,1991,male,128,0,9,3,0,0,12
TT91,bristol_bay,tanner_crab,1991,male,129,0,12,1,0,0,13
TT91,bristol_bay,tanner_crab,1991,male,130,0,14,3,0,0,17
TT91,bristol_bay,tanner_crab,1991,male,131,0,14,2,0,0,16
TT91,bristol_bay,tanner_crab,1991,male,132,0,11,1,0,1,13
TT91,bristol_bay,tanner_crab,1991,male,133,0,12,5,0,0,17
TT91,bristol_bay,tanner_crab,1991,male,134,0,13,2,0,1,16
TT91,bristol_bay,tanner_crab,1991,male,135,0,13,0,1,0,14
TT91,bristol_bay,tanner_crab,1991,male,136,1,13,0,0,0,14
TT91,bristol_bay,tanner_crab,1991,male,137,0,9,1,0,0,10
TT91,bristol_bay,tanner_crab,1991,male,138,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,139,0,5,0,0,0,5
TT91,bristol_bay,tanner_crab,1991,male,140,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,143,0,0,1,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,145,0,2,0,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,146,0,0,1,1,0,2
TT91,bristol_bay,tanner_crab,1991,male,150,0,0,2,0,0,2
TT91,bristol_bay,tanner_crab,1991,male,151,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,154,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,161,0,0,0,1,0,1
TT91,bristol_bay,tanner_crab,1991,male,162,0,1,0,0,0,1
TT91,bristol_bay,tanner_crab,1991,male,163,0,0,1,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,75,0,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,84,0,3,0,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,85,0,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,86,0,3,0,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,87,0,3,0,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,88,0,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,89,0,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,91,0,5,0,0,0,5
TT92,bristol_bay,tanner_crab,1992,male,92,0,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,93,0,4,0,0,0,4
TT92,bristol_bay,tanner_crab,1992,male,94,0,4,0,0,0,4
TT92,bristol_bay,tanner_crab,1992,male,95,0,3,1,0,0,4
TT92,bristol_bay,tanner_crab,1992,male,96,0,7,0,0,0,7
TT92,bristol_bay,tanner_crab,1992,male,97,0,8,0,0,0,8
TT92,bristol_bay,tanner_crab,1992,male,98,0,4,0,0,0,4
TT92,bristol_bay,tanner_crab,1992,male,99,0,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,100,0,5,0,0,0,5
TT92,bristol_bay,tanner_crab,1992,male,101,0,6,0,0,0,6
TT92,bristol_bay,tanner_crab,1992,male,102,0,2,0,0,0,2
TT92,bristol_bay,tanner_crab,1992,male,103,0,9,0,0,0,9
TT92,bristol_bay,tanner_crab,1992,male,104,0,1,0,0,0,1
TT92,bristol_bay,tanner_crab,1992,male,105,0,3,0,0,0,3
TT92,bristol_bay,tanner_crab,1992,male,106,0,5,1,0,0,6
TT92,bristol_bay,tanner_crab,1992,male,107,0,5,0,0,0,5
