index,name,value,std.dev,index,name,value,std.dev
300,rec-dev-est,-0.56794,0.2245,346,logit-rec-prop-est,-0.048674,0.14053
301,rec-dev-est,-0.53443,0.23942,347,logit-rec-prop-est,0.19272,0.36291
302,rec-dev-est,0.85003,0.15403,348,logit-rec-prop-est,-0.53064,0.37329
303,rec-dev-est,-0.62683,0.26515,349,logit-rec-prop-est,-0.48918,0.12433
304,rec-dev-est,-0.69773,0.26461,350,logit-rec-prop-est,-0.41945,0.4259
305,rec-dev-est,0.58608,0.15635,351,logit-rec-prop-est,0.0090495,0.44434
306,rec-dev-est,-0.15038,0.18222,352,logit-rec-prop-est,-0.3928,0.13852
307,rec-dev-est,-0.5422,0.18901,353,logit-rec-prop-est,-0.090558,0.23708
308,rec-dev-est,-1.1242,0.23636,354,logit-rec-prop-est,0.36042,0.2802
309,rec-dev-est,-0.99233,0.23603,355,logit-rec-prop-est,-0.18509,0.37016
310,rec-dev-est,-0.0097221,0.17771,356,logit-rec-prop-est,-0.42872,0.35905
311,rec-dev-est,-0.55657,0.2266,357,logit-rec-prop-est,-0.78631,0.19424
312,rec-dev-est,-1.1029,0.23264,358,logit-rec-prop-est,-0.45979,0.31665
313,rec-dev-est,-1.4205,0.22237,359,logit-rec-prop-est,-0.52225,0.3463
314,rec-dev-est,-1.8899,0.26751,360,logit-rec-prop-est,-0.22819,0.33183
315,rec-dev-est,-1.4276,0.22467,361,logit-rec-prop-est,-0.28732,0.42835
316,rec-dev-est,-0.75589,0.17429,362,logit-rec-prop-est,-0.31417,0.32717
317,rec-dev-est,-1.6191,0.25714,363,logit-rec-prop-est,0.3314,0.21842
318,rec-dev-est,-0.81574,0.19647,364,logit-rec-prop-est,0.53654,0.47422
319,rec-dev-est,-1.4246,0.27683,365,logit-rec-prop-est,0.80007,0.30774
320,rec-dev-est,-1.3345,0.27889,366,logit-rec-prop-est,0.1872,0.46719
321,rec-dev-est,-1.2031,0.27292,367,logit-rec-prop-est,0.66169,0.5233
322,rec-dev-est,-0.89326,0.31553,368,logit-rec-prop-est,0.19446,0.44439
323,logit-rec-prop-est,-0.093121,0.43302,369,logit-rec-prop-est,-0.75544,0.51327
324,logit-rec-prop-est,-0.84395,0.51289,370,m-dev-est[1],1.5942,0.029491
325,logit-rec-prop-est,-0.23478,0.35718,371,survey-q[1],0.96714,0.025142
326,logit-rec-prop-est,-0.43924,0.26617,372,$log-add-cv[2]$,-0.77507,0.27326
327,logit-rec-prop-est,0.077814,0.25483,,,,
328,logit-rec-prop-est,0.27291,0.33582,,,,
329,logit-rec-prop-est,0.34263,0.14031,,,,
330,logit-rec-prop-est,0.39507,0.23071,,,,
331,logit-rec-prop-est,-0.09478,0.17525,,,,
332,logit-rec-prop-est,0.46167,0.46278,,,,
333,logit-rec-prop-est,-0.49669,0.16526,,,,
334,logit-rec-prop-est,0.206,0.41881,,,,
335,logit-rec-prop-est,-0.10604,0.45774,,,,
336,logit-rec-prop-est,0.43344,0.38854,,,,
337,logit-rec-prop-est,-0.090846,0.16662,,,,
338,logit-rec-prop-est,0.16696,0.24178,,,,
